id,is_validated
3,-1
4,-1
9,1
78,1
92,-1
93,-1
95,-1
114,1
117,-1
137,-1
190,1
324,-1
348,-1
408,1
508,1
617,1
810,-1
847,-1
980,1
1146,1
1199,-1
1219,1
1230,1
1335,-1
1372,1
1437,1
1883,1
2145,-1
2165,-1
2215,-1
2238,-1
2252,-1
2374,1
2447,-1
2449,1
2481,-1
2511,-1
2533,1
2536,1
2567,1
2707,-1
2719,-1
2778,-1
2807,-1
2853,1
2859,1
2903,1
2911,-1
2913,1
2939,-1
2991,-1
3007,-1
3064,1
3065,-1
3108,-1
3160,-1
3169,1
3177,1
3218,1
3257,1
3309,-1
3320,-1
3327,-1
3364,1
3393,-1
3432,-1
3472,1
3482,1
3491,-1
3502,-1
3557,-1
3580,-1
3614,-1
3616,-1
3617,-1
3642,-1
3670,-1
3746,-1
3758,1
3777,1
3789,-1
3818,-1
3832,-1
3856,-1
3936,1
3937,-1
3939,-1
3949,1
3999,1
4021,-1
4022,-1
4042,-1
4051,-1
4081,-1
4103,-1
4104,-1
4120,-1
4130,-1
4156,-1
4169,-1
4179,-1
4185,1
4190,-1
4232,-1
4252,-1
4283,1
4285,-1
4286,-1
4287,-1
4294,-1
4296,-1
4548,-1
4763,-1
4771,1
4855,1
4870,1
4882,1
4923,1
4952,-1
4995,1
5146,-1
5148,-1
5183,-1
5209,1
5238,1
5257,-1
5288,1
5328,-1
5403,-1
5429,1
5430,-1
5442,-1
5466,-1
5674,1
5838,-1
5964,-1
5974,-1
5997,-1
5998,-1
6005,-1
6009,1
6017,-1
6051,-1
6079,-1
6130,1
6187,-1
6209,1
6212,-1
6224,-1
6225,-1
6226,-1
6227,-1
6229,-1
6232,-1
6233,-1
6241,1
6267,-1
6280,-1
6303,-1
6307,-1
6311,-1
6320,-1
6374,-1
6386,-1
6398,-1
6406,1
6407,-1
6410,-1
6456,-1
6495,-1
6497,-1
6498,-1
6501,-1
6503,-1
6512,1
6529,1
6541,-1
6557,1
6561,-1
6571,-1
6594,-1
6661,-1
6663,-1
6666,1
6678,-1
6699,-1
6701,1
6712,-1
6713,1
6717,-1
6726,1
6729,-1
6735,-1
6774,-1
6776,-1
6845,-1
6847,-1
6858,-1
6862,-1
6884,1
6895,1
6908,1
6929,1
6931,-1
6937,-1
6938,-1
6952,-1
6959,-1
6986,-1
7005,-1
7018,-1
7046,-1
7047,-1
7050,-1
7051,-1
7059,-1
7086,-1
7088,-1
7091,-1
7093,1
7100,1
7112,-1
7119,-1
7138,1
7179,-1
7183,-1
7185,-1
7200,-1
7203,-1
7207,-1
7208,-1
7308,1
7326,-1
7332,-1
7340,-1
7358,-1
7380,-1
7382,-1
7386,-1
7387,-1
7393,-1
7412,-1
7443,-1
7478,1
7513,1
7577,-1
7604,-1
7633,-1
7674,-1
7685,-1
7688,1
7703,-1
7705,-1
7707,-1
7708,1
7712,-1
7739,-1
7782,-1
7783,-1
7786,-1
7790,-1
7792,1
7797,-1
7839,-1
7848,-1
7856,-1
7858,-1
7861,-1
7863,1
